laptop_id,user_id,ratings,review,status,create_at,update_at,id
3,5,2.5,good,New,5/26/2021 14:47,5/26/2021 14:47,42
3,6,4,bad,New,5/27/2021 14:47,5/27/2021 14:47,43
3,8,4.5,average,New,5/28/2021 14:47,5/28/2021 14:47,44
3,10,3,its ok,New,5/29/2021 14:47,5/29/2021 14:47,45
3,11,2.5,nice,New,5/30/2021 14:47,5/30/2021 14:47,46
3,13,1,good,New,5/31/2021 14:47,5/31/2021 14:47,47
3,15,4,bad,New,6/1/2021 14:47,6/1/2021 14:47,48
3,16,3.5,average,New,6/2/2021 14:47,6/2/2021 14:47,49
3,18,5,its ok,New,6/3/2021 14:47,6/3/2021 14:47,50
3,19,2.5,nice,New,6/4/2021 14:47,6/4/2021 14:47,51
3,20,2,good,New,6/5/2021 14:47,6/5/2021 14:47,52
3,21,1.5,bad,New,6/6/2021 14:47,6/6/2021 14:47,53
3,22,4,average,New,6/7/2021 14:47,6/7/2021 14:47,54
3,23,4.5,its ok,New,6/8/2021 14:47,6/8/2021 14:47,55
3,25,3,nice,New,6/9/2021 14:47,6/9/2021 14:47,56
4,1,2,good,New,6/10/2021 14:47,6/10/2021 14:47,57
4,2,2.5,bad,New,6/11/2021 14:47,6/11/2021 14:47,58
4,4,4,average,New,6/12/2021 14:47,6/12/2021 14:47,59
4,5,4.5,its ok,New,6/13/2021 14:47,6/13/2021 14:47,60
4,7,5,nice,New,6/14/2021 14:47,6/14/2021 14:47,61
4,8,3.5,good,New,6/15/2021 14:47,6/15/2021 14:47,62
4,10,3,bad,New,6/16/2021 14:47,6/16/2021 14:47,63
4,12,1,average,New,6/17/2021 14:47,6/17/2021 14:47,64
4,13,2,its ok,New,6/18/2021 14:47,6/18/2021 14:47,65
4,15,3.5,nice,New,6/19/2021 14:47,6/19/2021 14:47,66
4,17,4,good,New,6/20/2021 14:47,6/20/2021 14:47,67
4,18,3,bad,New,6/21/2021 14:47,6/21/2021 14:47,68
4,19,4.5,average,New,6/22/2021 14:47,6/22/2021 14:47,69
4,20,5,its ok,New,6/23/2021 14:47,6/23/2021 14:47,70
4,25,2.5,nice,New,6/24/2021 14:47,6/24/2021 14:47,71
5,1,4,good,New,6/25/2021 14:47,6/25/2021 14:47,72
5,2,4.5,bad,New,6/26/2021 14:47,6/26/2021 14:47,73
5,3,3,average,New,6/27/2021 14:47,6/27/2021 14:47,74
5,5,3.5,its ok,New,6/28/2021 14:47,6/28/2021 14:47,75
5,6,4.5,nice,New,6/29/2021 14:47,6/29/2021 14:47,76
5,7,5,good,New,6/30/2021 14:47,6/30/2021 14:47,77
5,8,2,bad,New,7/1/2021 14:47,7/1/2021 14:47,78
5,9,2,average,New,7/2/2021 14:47,7/2/2021 14:47,79
5,10,4,its ok,New,7/3/2021 14:47,7/3/2021 14:47,80
5,11,5,nice,New,7/4/2021 14:47,7/4/2021 14:47,81
5,12,3.5,good,New,7/5/2021 14:47,7/5/2021 14:47,82
5,14,3,bad,New,7/6/2021 14:47,7/6/2021 14:47,83
5,16,1,average,New,7/7/2021 14:47,7/7/2021 14:47,84
5,20,2.5,its ok,New,7/8/2021 14:47,7/8/2021 14:47,85
5,22,1.5,nice,New,7/9/2021 14:47,7/9/2021 14:47,86
5,23,3,good,New,7/10/2021 14:47,7/10/2021 14:47,87
6,1,3,bad,New,7/11/2021 14:47,7/11/2021 14:47,88
6,3,3.5,average,New,7/12/2021 14:47,7/12/2021 14:47,89
6,4,2.5,its ok,New,7/13/2021 14:47,7/13/2021 14:47,90
6,5,4,nice,New,7/14/2021 14:47,7/14/2021 14:47,91
6,7,2.5,good,New,7/15/2021 14:47,7/15/2021 14:47,92
6,8,5,bad,New,7/16/2021 14:47,7/16/2021 14:47,93
6,9,3,average,New,7/17/2021 14:47,7/17/2021 14:47,94
6,10,5,its ok,New,7/18/2021 14:47,7/18/2021 14:47,95
6,14,1.5,nice,New,7/19/2021 14:47,7/19/2021 14:47,96
6,17,2,good,New,7/20/2021 14:47,7/20/2021 14:47,97
6,18,3.5,bad,New,7/21/2021 14:47,7/21/2021 14:47,98
6,22,3,average,New,7/22/2021 14:47,7/22/2021 14:47,99
6,23,1,its ok,New,7/23/2021 14:47,7/23/2021 14:47,100
7,2,4,nice,New,7/24/2021 14:47,7/24/2021 14:47,101
7,3,3.5,good,New,7/25/2021 14:47,7/25/2021 14:47,102
7,4,2,bad,New,7/26/2021 14:47,7/26/2021 14:47,103
7,5,4,average,New,7/27/2021 14:47,7/27/2021 14:47,104
7,6,4,its ok,New,7/28/2021 14:47,7/28/2021 14:47,105
7,7,2.5,nice,New,7/29/2021 14:47,7/29/2021 14:47,106
7,9,5,good,New,7/30/2021 14:47,7/30/2021 14:47,107
7,10,4.5,bad,New,7/31/2021 14:47,7/31/2021 14:47,108
7,11,3,average,New,8/1/2021 14:47,8/1/2021 14:47,109
7,12,2.5,its ok,New,8/2/2021 14:47,8/2/2021 14:47,110
7,13,1,nice,New,8/3/2021 14:47,8/3/2021 14:47,111
7,15,5,good,New,8/4/2021 14:47,8/4/2021 14:47,112
7,16,2,bad,New,8/5/2021 14:47,8/5/2021 14:47,113
7,17,4.5,average,New,8/6/2021 14:47,8/6/2021 14:47,114
7,19,3.5,its ok,New,8/7/2021 14:47,8/7/2021 14:47,115
7,20,1.5,nice,New,8/8/2021 14:47,8/8/2021 14:47,116
7,21,2,good,New,8/9/2021 14:47,8/9/2021 14:47,117
7,22,4,bad,New,8/10/2021 14:47,8/10/2021 14:47,118
7,23,3,average,New,8/11/2021 14:47,8/11/2021 14:47,119
7,24,5,its ok,New,8/12/2021 14:47,8/12/2021 14:47,120
8,2,5,nice,New,8/13/2021 14:47,8/13/2021 14:47,121
8,3,3,good,New,8/14/2021 14:47,8/14/2021 14:47,122
8,4,3.5,bad,New,8/15/2021 14:47,8/15/2021 14:47,123
8,5,2,average,New,8/16/2021 14:47,8/16/2021 14:47,124
8,6,4.5,its ok,New,8/17/2021 14:47,8/17/2021 14:47,125
8,7,3,nice,New,8/18/2021 14:47,8/18/2021 14:47,126
8,8,3.5,good,New,8/19/2021 14:47,8/19/2021 14:47,127
8,10,4.5,bad,New,8/20/2021 14:47,8/20/2021 14:47,128
8,12,2.5,average,New,8/21/2021 14:47,8/21/2021 14:47,129
8,13,2,its ok,New,8/22/2021 14:47,8/22/2021 14:47,130
8,16,1,nice,New,8/23/2021 14:47,8/23/2021 14:47,131
8,17,3,good,New,8/24/2021 14:47,8/24/2021 14:47,132
8,19,4,bad,New,8/25/2021 14:47,8/25/2021 14:47,133
8,21,5,average,New,8/26/2021 14:47,8/26/2021 14:47,134
8,22,1.5,its ok,New,8/27/2021 14:47,8/27/2021 14:47,135
8,23,4.5,nice,New,8/28/2021 14:47,8/28/2021 14:47,136
8,24,3.5,good,New,8/29/2021 14:47,8/29/2021 14:47,137
8,1,2,bad,New,8/30/2021 14:47,8/30/2021 14:47,138
9,1,2,average,New,8/31/2021 14:47,8/31/2021 14:47,139
9,3,2.5,its ok,New,9/1/2021 14:47,9/1/2021 14:47,140
9,4,3.5,nice,New,9/2/2021 14:47,9/2/2021 14:47,141
9,6,4.5,good,New,9/3/2021 14:47,9/3/2021 14:47,142
9,7,1,bad,New,9/4/2021 14:47,9/4/2021 14:47,143
9,8,5,average,New,9/5/2021 14:47,9/5/2021 14:47,144
9,11,4,its ok,New,9/6/2021 14:47,9/6/2021 14:47,145
9,13,3.5,nice,New,9/7/2021 14:47,9/7/2021 14:47,146
9,14,4.5,good,New,9/8/2021 14:47,9/8/2021 14:47,147
9,15,2,bad,New,9/9/2021 14:47,9/9/2021 14:47,148
9,17,3,average,New,9/10/2021 14:47,9/10/2021 14:47,149
9,18,5,its ok,New,9/11/2021 14:47,9/11/2021 14:47,150
9,19,1.5,nice,New,9/12/2021 14:47,9/12/2021 14:47,151
9,20,3,good,New,9/13/2021 14:47,9/13/2021 14:47,152
9,21,4.5,bad,New,9/14/2021 14:47,9/14/2021 14:47,153
9,22,2.5,average,New,9/15/2021 14:47,9/15/2021 14:47,154
9,24,3,its ok,New,9/16/2021 14:47,9/16/2021 14:47,155
9,25,1.5,nice,New,9/17/2021 14:47,9/17/2021 14:47,156
9,5,4,good,New,9/18/2021 14:47,9/18/2021 14:47,157
9,9,2,bad,New,9/19/2021 14:47,9/19/2021 14:47,158
9,10,4,average,New,9/20/2021 14:47,9/20/2021 14:47,159
10,2,1,its ok,New,9/21/2021 14:47,9/21/2021 14:47,160
10,4,2.5,nice,New,9/22/2021 14:47,9/22/2021 14:47,161
10,5,3.5,good,New,9/23/2021 14:47,9/23/2021 14:47,162
10,7,4.5,bad,New,9/24/2021 14:47,9/24/2021 14:47,163
10,8,3.5,average,New,9/25/2021 14:47,9/25/2021 14:47,164
10,9,4,its ok,New,9/26/2021 14:47,9/26/2021 14:47,165
10,12,1,nice,New,9/27/2021 14:47,9/27/2021 14:47,166
10,14,5,good,New,9/28/2021 14:47,9/28/2021 14:47,167
10,15,2.5,bad,New,9/29/2021 14:47,9/29/2021 14:47,168
10,17,3,average,New,9/30/2021 14:47,9/30/2021 14:47,169
10,18,2,its ok,New,10/1/2021 14:47,10/1/2021 14:47,170
10,19,1.5,nice,New,10/2/2021 14:47,10/2/2021 14:47,171
10,20,5,good,New,10/3/2021 14:47,10/3/2021 14:47,172
10,21,4.5,bad,New,10/4/2021 14:47,10/4/2021 14:47,173
10,22,2,average,New,10/5/2021 14:47,10/5/2021 14:47,174
10,24,3.5,its ok,New,10/6/2021 14:47,10/6/2021 14:47,175
10,25,3,nice,New,10/7/2021 14:47,10/7/2021 14:47,176
11,1,1,good,New,10/8/2021 14:47,10/8/2021 14:47,177
11,2,2.5,bad,New,10/9/2021 14:47,10/9/2021 14:47,178
11,4,3,average,New,10/10/2021 14:47,10/10/2021 14:47,179
11,6,3.5,its ok,New,10/11/2021 14:47,10/11/2021 14:47,180
11,8,4,nice,New,10/12/2021 14:47,10/12/2021 14:47,181
11,9,4.5,good,New,10/13/2021 14:47,10/13/2021 14:47,182
11,11,5,bad,New,10/14/2021 14:47,10/14/2021 14:47,183
11,14,1,average,New,10/15/2021 14:47,10/15/2021 14:47,184
11,15,2,its ok,New,10/16/2021 14:47,10/16/2021 14:47,185
11,18,3.5,nice,New,10/17/2021 14:47,10/17/2021 14:47,186
11,19,4,good,New,10/18/2021 14:47,10/18/2021 14:47,187
11,21,4.5,bad,New,10/19/2021 14:47,10/19/2021 14:47,188
11,22,2.5,average,New,10/20/2021 14:47,10/20/2021 14:47,189
11,23,3.5,its ok,New,10/21/2021 14:47,10/21/2021 14:47,190
12,1,3,nice,New,10/22/2021 14:47,10/22/2021 14:47,191
12,2,5,good,New,10/23/2021 14:47,10/23/2021 14:47,192
12,3,5,bad,New,10/24/2021 14:47,10/24/2021 14:47,193
12,5,4.5,average,New,10/25/2021 14:47,10/25/2021 14:47,194
12,6,2.5,its ok,New,10/26/2021 14:47,10/26/2021 14:47,195
12,7,2,nice,New,10/27/2021 14:47,10/27/2021 14:47,196
12,8,3,good,New,10/28/2021 14:47,10/28/2021 14:47,197
12,10,4,bad,New,10/29/2021 14:47,10/29/2021 14:47,198
12,11,3,average,New,10/30/2021 14:47,10/30/2021 14:47,199
12,12,1,its ok,New,10/31/2021 14:47,10/31/2021 14:47,200
12,13,3.5,nice,New,11/1/2021 14:47,11/1/2021 14:47,201
12,14,3.5,good,New,11/2/2021 14:47,11/2/2021 14:47,202
12,15,4.5,bad,New,11/3/2021 14:47,11/3/2021 14:47,203
12,16,1,average,New,11/4/2021 14:47,11/4/2021 14:47,204
12,17,4,its ok,New,11/5/2021 14:47,11/5/2021 14:47,205
12,18,2,nice,New,11/6/2021 14:47,11/6/2021 14:47,206
12,19,4,good,New,11/7/2021 14:47,11/7/2021 14:47,207
12,21,5,bad,New,11/8/2021 14:47,11/8/2021 14:47,208
12,22,2.5,average,New,11/9/2021 14:47,11/9/2021 14:47,209
12,25,3.5,its ok,New,11/10/2021 14:47,11/10/2021 14:47,210
13,1,2.5,nice,New,11/11/2021 14:47,11/11/2021 14:47,211
13,6,4,good,New,11/12/2021 14:47,11/12/2021 14:47,212
13,7,4.5,bad,New,11/13/2021 14:47,11/13/2021 14:47,213
13,8,3,average,New,11/14/2021 14:47,11/14/2021 14:47,214
13,11,2,its ok,New,11/15/2021 14:47,11/15/2021 14:47,215
13,14,5,nice,New,11/16/2021 14:47,11/16/2021 14:47,216
13,16,2.5,good,New,11/17/2021 14:47,11/17/2021 14:47,217
13,18,3.5,bad,New,11/18/2021 14:47,11/18/2021 14:47,218
13,20,3,average,New,11/19/2021 14:47,11/19/2021 14:47,219
13,21,4.5,its ok,New,11/20/2021 14:47,11/20/2021 14:47,220
13,24,5,nice,New,11/21/2021 14:47,11/21/2021 14:47,221
13,25,1,good,New,11/22/2021 14:47,11/22/2021 14:47,222
14,2,5,bad,New,11/23/2021 14:47,11/23/2021 14:47,223
14,3,3.5,average,New,11/24/2021 14:47,11/24/2021 14:47,224
14,4,3,its ok,New,11/25/2021 14:47,11/25/2021 14:47,225
14,6,4.5,nice,New,11/26/2021 14:47,11/26/2021 14:47,226
14,7,1,good,New,11/27/2021 14:47,11/27/2021 14:47,227
14,9,5,bad,New,11/28/2021 14:47,11/28/2021 14:47,228
14,10,2,average,New,11/29/2021 14:47,11/29/2021 14:47,229
14,11,3,its ok,New,11/30/2021 14:47,11/30/2021 14:47,230
14,12,2.5,nice,New,12/1/2021 14:47,12/1/2021 14:47,231
14,13,4,good,New,12/2/2021 14:47,12/2/2021 14:47,232
14,14,4.5,bad,New,12/3/2021 14:47,12/3/2021 14:47,233
14,16,1.5,average,New,12/4/2021 14:47,12/4/2021 14:47,234
14,17,3,its ok,New,12/5/2021 14:47,12/5/2021 14:47,235
14,19,2.5,nice,New,12/6/2021 14:47,12/6/2021 14:47,236
14,22,3.5,good,New,12/7/2021 14:47,12/7/2021 14:47,237
15,1,4,bad,New,12/8/2021 14:47,12/8/2021 14:47,238
15,2,3,average,New,12/9/2021 14:47,12/9/2021 14:47,239
15,4,2.5,its ok,New,12/10/2021 14:47,12/10/2021 14:47,240
15,5,3.5,nice,New,12/11/2021 14:47,12/11/2021 14:47,241
15,7,5,good,New,12/12/2021 14:47,12/12/2021 14:47,242
15,8,1.5,bad,New,12/13/2021 14:47,12/13/2021 14:47,243
15,10,4,average,New,12/14/2021 14:47,12/14/2021 14:47,244
15,11,4.5,its ok,New,12/15/2021 14:47,12/15/2021 14:47,245
15,13,3.5,nice,New,12/16/2021 14:47,12/16/2021 14:47,246
15,14,1.5,good,New,12/17/2021 14:47,12/17/2021 14:47,247
15,15,2,bad,New,12/18/2021 14:47,12/18/2021 14:47,248
15,16,2.5,average,New,12/19/2021 14:47,12/19/2021 14:47,249
15,17,5,its ok,New,12/20/2021 14:47,12/20/2021 14:47,250
15,18,1,nice,New,12/21/2021 14:47,12/21/2021 14:47,251
15,19,3,good,New,12/22/2021 14:47,12/22/2021 14:47,252
15,20,4,bad,New,12/23/2021 14:47,12/23/2021 14:47,253
15,22,5,average,New,12/24/2021 14:47,12/24/2021 14:47,254
15,23,3.5,its ok,New,12/25/2021 14:47,12/25/2021 14:47,255
15,24,4,nice,New,12/26/2021 14:47,12/26/2021 14:47,256
