smartwatch_id,user_id,ratings,review,status,create_at,update_at,id
3,5,2.5,good,New,5/26/2021 14:47,5/26/2021 14:47,42
3,6,4,bad,New,5/27/2021 14:47,5/27/2021 14:47,43
3,8,4.5,average,New,5/28/2021 14:47,5/28/2021 14:47,44
3,10,3,its ok,New,5/29/2021 14:47,5/29/2021 14:47,45
3,11,2.5,nice,New,5/30/2021 14:47,5/30/2021 14:47,46
3,13,1,good,New,5/31/2021 14:47,5/31/2021 14:47,47
3,15,4,bad,New,6/1/2021 14:47,6/1/2021 14:47,48
3,16,3.5,average,New,6/2/2021 14:47,6/2/2021 14:47,49
3,18,5,its ok,New,6/3/2021 14:47,6/3/2021 14:47,50
3,19,2.5,nice,New,6/4/2021 14:47,6/4/2021 14:47,51
3,20,2,good,New,6/5/2021 14:47,6/5/2021 14:47,52
3,21,1.5,bad,New,6/6/2021 14:47,6/6/2021 14:47,53
3,22,4,average,New,6/7/2021 14:47,6/7/2021 14:47,54
3,23,4.5,its ok,New,6/8/2021 14:47,6/8/2021 14:47,55
3,25,3,nice,New,6/9/2021 14:47,6/9/2021 14:47,56
4,1,2,good,New,6/10/2021 14:47,6/10/2021 14:47,57
4,2,2.5,bad,New,6/11/2021 14:47,6/11/2021 14:47,58
4,4,4,average,New,6/12/2021 14:47,6/12/2021 14:47,59
4,5,4.5,its ok,New,6/13/2021 14:47,6/13/2021 14:47,60
4,7,5,nice,New,6/14/2021 14:47,6/14/2021 14:47,61
4,8,3.5,good,New,6/15/2021 14:47,6/15/2021 14:47,62
4,10,3,bad,New,6/16/2021 14:47,6/16/2021 14:47,63
4,12,1,average,New,6/17/2021 14:47,6/17/2021 14:47,64
4,13,2,its ok,New,6/18/2021 14:47,6/18/2021 14:47,65
4,15,3.5,nice,New,6/19/2021 14:47,6/19/2021 14:47,66
4,17,4,good,New,6/20/2021 14:47,6/20/2021 14:47,67
4,18,3,bad,New,6/21/2021 14:47,6/21/2021 14:47,68
4,19,4.5,average,New,6/22/2021 14:47,6/22/2021 14:47,69
4,20,5,its ok,New,6/23/2021 14:47,6/23/2021 14:47,70
4,25,2.5,nice,New,6/24/2021 14:47,6/24/2021 14:47,71
5,1,4,good,New,6/25/2021 14:47,6/25/2021 14:47,72
5,2,4.5,bad,New,6/26/2021 14:47,6/26/2021 14:47,73
5,3,3,average,New,6/27/2021 14:47,6/27/2021 14:47,74
5,5,3.5,its ok,New,6/28/2021 14:47,6/28/2021 14:47,75
5,6,4.5,nice,New,6/29/2021 14:47,6/29/2021 14:47,76
5,7,5,good,New,6/30/2021 14:47,6/30/2021 14:47,77
5,8,2,bad,New,7/1/2021 14:47,7/1/2021 14:47,78
5,9,2,average,New,7/2/2021 14:47,7/2/2021 14:47,79
5,10,4,its ok,New,7/3/2021 14:47,7/3/2021 14:47,80
5,11,5,nice,New,7/4/2021 14:47,7/4/2021 14:47,81
5,12,3.5,good,New,7/5/2021 14:47,7/5/2021 14:47,82
5,14,3,bad,New,7/6/2021 14:47,7/6/2021 14:47,83
5,16,1,average,New,7/7/2021 14:47,7/7/2021 14:47,84
5,20,2.5,its ok,New,7/8/2021 14:47,7/8/2021 14:47,85
5,22,1.5,nice,New,7/9/2021 14:47,7/9/2021 14:47,86
5,23,3,good,New,7/10/2021 14:47,7/10/2021 14:47,87
6,1,3,bad,New,7/11/2021 14:47,7/11/2021 14:47,88
6,3,3.5,average,New,7/12/2021 14:47,7/12/2021 14:47,89
6,4,2.5,its ok,New,7/13/2021 14:47,7/13/2021 14:47,90
6,5,4,nice,New,7/14/2021 14:47,7/14/2021 14:47,91
6,7,2.5,good,New,7/15/2021 14:47,7/15/2021 14:47,92
6,8,5,bad,New,7/16/2021 14:47,7/16/2021 14:47,93
6,9,3,average,New,7/17/2021 14:47,7/17/2021 14:47,94
6,10,5,its ok,New,7/18/2021 14:47,7/18/2021 14:47,95
6,14,1.5,nice,New,7/19/2021 14:47,7/19/2021 14:47,96
6,17,2,good,New,7/20/2021 14:47,7/20/2021 14:47,97
6,18,3.5,bad,New,7/21/2021 14:47,7/21/2021 14:47,98
6,22,3,average,New,7/22/2021 14:47,7/22/2021 14:47,99
6,23,1,its ok,New,7/23/2021 14:47,7/23/2021 14:47,100
7,2,4,nice,New,7/24/2021 14:47,7/24/2021 14:47,101
7,3,3.5,good,New,7/25/2021 14:47,7/25/2021 14:47,102
7,4,2,bad,New,7/26/2021 14:47,7/26/2021 14:47,103
7,5,4,average,New,7/27/2021 14:47,7/27/2021 14:47,104
7,6,4,its ok,New,7/28/2021 14:47,7/28/2021 14:47,105
7,7,2.5,nice,New,7/29/2021 14:47,7/29/2021 14:47,106
7,9,5,good,New,7/30/2021 14:47,7/30/2021 14:47,107
7,10,4.5,bad,New,7/31/2021 14:47,7/31/2021 14:47,108
7,11,3,average,New,8/1/2021 14:47,8/1/2021 14:47,109
7,12,2.5,its ok,New,8/2/2021 14:47,8/2/2021 14:47,110
7,13,1,nice,New,8/3/2021 14:47,8/3/2021 14:47,111
7,15,5,good,New,8/4/2021 14:47,8/4/2021 14:47,112
7,16,2,bad,New,8/5/2021 14:47,8/5/2021 14:47,113
7,17,4.5,average,New,8/6/2021 14:47,8/6/2021 14:47,114
7,19,3.5,its ok,New,8/7/2021 14:47,8/7/2021 14:47,115
7,20,1.5,nice,New,8/8/2021 14:47,8/8/2021 14:47,116
7,21,2,good,New,8/9/2021 14:47,8/9/2021 14:47,117
7,22,4,bad,New,8/10/2021 14:47,8/10/2021 14:47,118
7,23,3,average,New,8/11/2021 14:47,8/11/2021 14:47,119
7,24,5,its ok,New,8/12/2021 14:47,8/12/2021 14:47,120
8,2,5,nice,New,8/13/2021 14:47,8/13/2021 14:47,121
8,3,3,good,New,8/14/2021 14:47,8/14/2021 14:47,122
8,4,3.5,bad,New,8/15/2021 14:47,8/15/2021 14:47,123
8,5,2,average,New,8/16/2021 14:47,8/16/2021 14:47,124
8,6,4.5,its ok,New,8/17/2021 14:47,8/17/2021 14:47,125
8,7,3,nice,New,8/18/2021 14:47,8/18/2021 14:47,126
8,8,3.5,good,New,8/19/2021 14:47,8/19/2021 14:47,127
8,10,4.5,bad,New,8/20/2021 14:47,8/20/2021 14:47,128
8,12,2.5,average,New,8/21/2021 14:47,8/21/2021 14:47,129
8,13,2,its ok,New,8/22/2021 14:47,8/22/2021 14:47,130
8,16,1,nice,New,8/23/2021 14:47,8/23/2021 14:47,131
8,17,3,good,New,8/24/2021 14:47,8/24/2021 14:47,132
8,19,4,bad,New,8/25/2021 14:47,8/25/2021 14:47,133
8,21,5,average,New,8/26/2021 14:47,8/26/2021 14:47,134
8,22,1.5,its ok,New,8/27/2021 14:47,8/27/2021 14:47,135
8,23,4.5,nice,New,8/28/2021 14:47,8/28/2021 14:47,136
8,24,3.5,good,New,8/29/2021 14:47,8/29/2021 14:47,137
8,1,2,bad,New,8/30/2021 14:47,8/30/2021 14:47,138
9,1,2,average,New,8/31/2021 14:47,8/31/2021 14:47,139
9,3,2.5,its ok,New,9/1/2021 14:47,9/1/2021 14:47,140
9,4,3.5,nice,New,9/2/2021 14:47,9/2/2021 14:47,141
9,6,4.5,good,New,9/3/2021 14:47,9/3/2021 14:47,142
9,7,1,bad,New,9/4/2021 14:47,9/4/2021 14:47,143
9,8,5,average,New,9/5/2021 14:47,9/5/2021 14:47,144
9,11,4,its ok,New,9/6/2021 14:47,9/6/2021 14:47,145
9,13,3.5,nice,New,9/7/2021 14:47,9/7/2021 14:47,146
9,14,4.5,good,New,9/8/2021 14:47,9/8/2021 14:47,147
9,15,2,bad,New,9/9/2021 14:47,9/9/2021 14:47,148
9,17,3,average,New,9/10/2021 14:47,9/10/2021 14:47,149
9,18,5,its ok,New,9/11/2021 14:47,9/11/2021 14:47,150
9,19,1.5,nice,New,9/12/2021 14:47,9/12/2021 14:47,151
9,20,3,good,New,9/13/2021 14:47,9/13/2021 14:47,152
9,21,4.5,bad,New,9/14/2021 14:47,9/14/2021 14:47,153
9,22,2.5,average,New,9/15/2021 14:47,9/15/2021 14:47,154
9,24,3,its ok,New,9/16/2021 14:47,9/16/2021 14:47,155
9,25,1.5,nice,New,9/17/2021 14:47,9/17/2021 14:47,156
9,5,4,good,New,9/18/2021 14:47,9/18/2021 14:47,157
9,9,2,bad,New,9/19/2021 14:47,9/19/2021 14:47,158
9,10,4,average,New,9/20/2021 14:47,9/20/2021 14:47,159
10,2,1,its ok,New,9/21/2021 14:47,9/21/2021 14:47,160
10,4,2.5,nice,New,9/22/2021 14:47,9/22/2021 14:47,161
10,5,3.5,good,New,9/23/2021 14:47,9/23/2021 14:47,162
10,7,4.5,bad,New,9/24/2021 14:47,9/24/2021 14:47,163
10,8,3.5,average,New,9/25/2021 14:47,9/25/2021 14:47,164
10,9,4,its ok,New,9/26/2021 14:47,9/26/2021 14:47,165
10,12,1,nice,New,9/27/2021 14:47,9/27/2021 14:47,166
10,14,5,good,New,9/28/2021 14:47,9/28/2021 14:47,167
10,15,2.5,bad,New,9/29/2021 14:47,9/29/2021 14:47,168
10,17,3,average,New,9/30/2021 14:47,9/30/2021 14:47,169
10,18,2,its ok,New,10/1/2021 14:47,10/1/2021 14:47,170
10,19,1.5,nice,New,10/2/2021 14:47,10/2/2021 14:47,171
10,20,5,good,New,10/3/2021 14:47,10/3/2021 14:47,172
10,21,4.5,bad,New,10/4/2021 14:47,10/4/2021 14:47,173
10,22,2,average,New,10/5/2021 14:47,10/5/2021 14:47,174
10,24,3.5,its ok,New,10/6/2021 14:47,10/6/2021 14:47,175
10,25,3,nice,New,10/7/2021 14:47,10/7/2021 14:47,176
